download_url,hypeness,pct_muted,pog_tag,sad_tag,timestamp,vod_id,funny_tag,game,length,stream_tag,url,highlights_voddatum,liked,done,disliked
https://hypelab-highlight-downloads.s3.amazonaws.com/72hrs/735098869/20018.mp4,5.46,0.0,0.14,-0.17,20018,735098869,0.09,Fall Guys,82,-0.17,https://www.twitch.tv/videos/735098869?t=5h33m38s,{'highlights_channel': {'twitch_name': '72hrs'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/72hrs/735098869/23085.mp4,6.63,0.0,0.69,-0.12,23085,735098869,0.07,Fall Guys,80,-0.17,https://www.twitch.tv/videos/735098869?t=6h24m45s,{'highlights_channel': {'twitch_name': '72hrs'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/72hrs/735098869/24108.mp4,16.29,0.0,1.07,-0.11,24108,735098869,-0.36,Fall Guys,139,0.12,https://www.twitch.tv/videos/735098869?t=6h41m48s,{'highlights_channel': {'twitch_name': '72hrs'}},False,True,True
https://hypelab-highlight-downloads.s3.amazonaws.com/barstoolsports/735138477/7358.mp4,5.9,0.0,-0.2,-0.15,7358,735138477,0.32,Call of Duty: Modern Warfare,92,-0.19,https://www.twitch.tv/videos/735138477?t=2h02m38s,{'highlights_channel': {'twitch_name': 'barstoolsports'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/Rizzo/735238359/6552.mp4,5.3,0.0,0.37,-0.08,6552,735238359,0.25,Rocket League,78,-0.15,https://www.twitch.tv/videos/735238359?t=1h49m12s,{'highlights_channel': {'twitch_name': 'Rizzo'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/Rizzo/735238359/6693.mp4,13.26,0.0,1.16,-0.15,6693,735238359,-0.23,Rocket League,94,-0.07,https://www.twitch.tv/videos/735238359?t=1h51m33s,{'highlights_channel': {'twitch_name': 'Rizzo'}},False,True,True
https://hypelab-highlight-downloads.s3.amazonaws.com/n0thing/735324021/11471.mp4,8.94,0.0,-0.07,0.05,11471,735324021,0.31,VALORANT,82,-0.04,https://www.twitch.tv/videos/735324021?t=3h11m11s,{'highlights_channel': {'twitch_name': 'n0thing'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/n0thing/735324021/11897.mp4,7.33,0.0,-0.28,-0.21,11897,735324021,0.47,VALORANT,78,-0.19,https://www.twitch.tv/videos/735324021?t=3h18m17s,{'highlights_channel': {'twitch_name': 'n0thing'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chessbrah/735365724/8781.mp4,5.37,0.0,0.04,-0.04,8781,735365724,0.84,Chess,89,-0.14,https://www.twitch.tv/videos/735365724?t=2h26m21s,{'highlights_channel': {'twitch_name': 'chessbrah'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/leffen/735388275/7668.mp4,7.16,0.0,-0.1,-0.13,7668,735388275,0.07,Tekken 7,83,-0.11,https://www.twitch.tv/videos/735388275?t=2h07m48s,{'highlights_channel': {'twitch_name': 'leffen'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/leffen/735388275/13453.mp4,5.48,0.0,-0.23,-0.01,13453,735388275,0.5,Tekken 7,78,-0.11,https://www.twitch.tv/videos/735388275?t=3h44m13s,{'highlights_channel': {'twitch_name': 'leffen'}},True,True,False
